A1,X,M,L1,A2,Y,Time1,Time2
1,1.295866313,0,-0.441614583,1,5.864094897,0,0
1,-0.775667558,0,-1.33136248,0,5.981092577,0,0
1,-1.638600097,1,-1.662680566,0,1.942638326,0,0
0,0.41655697,1,2.069846141,1,0.346887668,0,0
0,0.098896483,1,1.215144734,1,4.224647915,0,0
1,1.052808523,1,1.743229912,1,0.331890121,0,0
1,0.237610273,1,-1.109084012,0,5.501038872,0,0
1,-0.684803171,0,0.815797976,1,5.904601866,0,0
1,-0.749497437,0,-2.738192941,0,0.856388575,0,0
1,-1.029140887,0,0.68408736,0,2.232538041,0,0
1,0.256099596,1,-0.817762048,0,4.806484836,0,0
1,0.281303942,0,-2.662766606,1,1.586957261,0,0
1,1.355172698,1,1.23516178,1,3.109672181,0,0
1,0.379513339,1,-0.359132198,0,3.341079407,0,0
0,1.100456394,0,-0.438096907,0,2.629278013,0,0
1,0.26535167,1,-0.785037035,0,2.364211244,0,0
1,-0.659788133,0,-1.95317784,1,3.159751958,0,0
0,-0.406158396,1,0.800717719,0,0.155048543,0,0
0,-0.046975664,0,0.690489059,0,0.600463439,0,0
0,0.619678769,1,1.334277566,1,6.684787112,0,0
1,0.760974847,0,-0.195995901,1,7.628879691,0,0
1,0.424105039,0,1.898767345,0,-3.669487732,0,0
1,0.067898292,1,-2.916266959,0,-0.720087393,0,0
0,-0.823980906,0,-0.940573732,0,3.567898971,0,0
1,-0.081046633,0,-1.488049483,1,1.966652034,0,0
0,0.829143156,1,1.451314669,1,1.853045049,0,0
1,0.379725566,0,1.807007712,1,-0.958292749,0,0
0,1.084028325,0,2.322311378,0,-6.685498742,0,0
1,-0.142489487,0,0.385804924,1,1.585286372,0,0
1,-1.688337701,0,-3.908461052,0,-6.881761265,0,0
1,1.115158405,0,0.948046032,1,4.080883805,0,0
1,-0.045194395,1,-1.174128355,0,2.372691132,0,0
0,0.739805401,0,0.28116394,0,1.889414388,0,0
0,1.267449171,0,3.448526271,1,-11.52198391,0,0
1,-0.783625592,0,-1.267011287,0,-0.422613774,0,0
0,-0.88055194,0,-1.783136357,0,2.500856935,0,0
0,0.014445498,0,0.582211838,0,2.35143389,0,0
1,-0.763199552,0,-3.637818727,1,-6.332305905,0,0
0,-0.535947262,0,-0.582088772,1,5.815123724,0,0
1,-0.353324213,0,-0.13733943,1,5.683231181,0,0
1,-0.063893175,1,-0.187742146,0,6.611737979,0,0
1,0.719643201,1,1.050118433,1,2.766410052,0,0
0,-1.001770744,1,-0.203061497,1,6.964220565,0,0
1,-0.463107382,1,-1.433751613,0,2.18211223,0,0
1,0.575431091,1,1.391658463,0,-1.661225037,0,0
1,0.334613548,0,-1.863665244,1,6.167133056,0,0
0,0.623843966,1,1.18724721,0,2.139368524,0,0
0,-0.374690391,0,0.521384544,1,5.97338576,0,0
1,-1.700895681,0,-1.691032704,1,1.765178277,0,0
0,0.70926034,0,-0.547130272,1,1.799416293,0,0
0,0.369175672,1,-0.129644604,0,4.837348194,0,0
1,0.016278544,0,-1.448744887,1,6.053667461,0,0
1,-0.02500954,0,-0.691033297,0,1.173409383,0,0
0,-0.31340178,1,0.358158641,1,7.944861934,0,0
1,-0.595423965,1,-1.29636077,0,6.553462875,0,0
1,-0.557906055,1,-2.317913109,1,0.340882474,0,0
0,0.773281441,0,0.932638723,1,6.903204815,0,0
1,-1.239332561,1,0.518531406,0,0.868799908,0,0
1,-0.344848693,1,-2.277501884,0,1.42195925,0,0
0,-0.117354948,0,-0.26522812,0,3.166206736,0,0
1,1.769722513,0,1.200238504,1,5.950310616,0,0
1,-0.720035972,1,-1.055781181,0,3.387247315,0,0
0,-1.755807739,1,-1.783073713,1,5.847585992,0,0
1,-1.000331546,1,0.053126424,0,9.177067512,0,0
0,1.735784529,0,1.619162204,1,-2.979042106,0,0
