A1,U0,L1,A2,Y,Time
0,0,0,1,1.804982198,0
0,0,1,0,2.006082015,0
0,0,0,1,1.901886281,0
0,0,1,1,1.605793211,0
0,0,1,1,1.686778919,0
1,1,1,1,0.678464514,0
0,0,0,1,1.851111292,0
0,0,0,1,1.493472831,0
0,0,1,1,1.862716441,0
0,0,1,1,1.544076715,0
1,0,0,1,1.657389097,0
1,1,0,1,0.426807741,0
1,0,0,1,1.285045564,0
1,1,0,0,0.644814722,0
1,1,1,1,0.168824018,0
0,1,1,1,1.138382479,0
0,0,1,0,2.560119983,0
1,0,0,1,1.430629964,0
0,1,0,0,1.897367217,0
1,0,0,1,1.540855143,0
1,1,0,1,0.608132009,0
1,0,0,1,1.504867792,0
1,1,0,0,0.666396325,0
0,0,0,1,1.566142301,0
0,1,1,1,0.629446708,0
0,1,1,0,1.234276749,0
0,1,1,0,1.666862708,0
1,1,1,0,1.011190422,0
0,0,0,0,2.492622662,0
0,1,1,0,1.601185133,0
1,1,1,0,1.098820374,0
0,0,0,0,2.252737465,0
1,0,1,0,2.057328896,0
0,0,1,1,1.659357636,0
1,1,1,0,1.054109576,0
1,0,1,0,1.961426791,0
1,0,1,0,2.174813165,0
0,1,0,1,1.017757688,0
1,0,0,1,1.142138444,0
0,0,0,0,2.201586761,0
1,0,1,1,1.923461743,0
1,0,0,0,2.101009066,0
1,1,0,1,0.262792138,0
0,1,0,1,0.634625172,0
1,1,0,1,0.613715,0
0,0,0,1,1.832564763,0
1,1,0,1,0.105063993,0
1,0,0,1,1.139272485,0
1,0,0,0,1.845299171,0
0,0,0,0,2.615977718,0
0,1,0,1,1.287130411,0
1,0,1,1,1.411716727,0
1,1,0,0,1.154029508,0
0,0,0,0,2.540214331,0
1,0,1,1,1.334327037,0
0,1,0,0,1.907612314,0
0,0,0,1,1.563948519,0
1,0,0,0,1.892353515,0
1,0,1,1,1.327106254,0
1,1,1,1,0.302730949,0
1,1,1,1,0.255502516,0
1,0,1,1,1.101300913,0
1,1,0,0,1.140091312,0
1,1,1,0,1.009290183,0
0,1,0,1,0.47183711,0
0,0,1,0,2.86045897,0
1,0,1,0,1.734752676,0
1,1,0,0,0.654248608,0
0,1,0,0,1.447734295,0
1,1,0,0,0.984044087,0
1,1,1,1,0.475146191,0
1,0,0,1,1.691242137,0
1,1,0,1,0.518161975,0
0,0,1,1,1.846651416,0
1,0,1,0,2.510324252,0
0,0,1,0,2.645220982,0
1,0,0,1,1.245022219,0
1,0,0,1,1.623462923,0
0,0,0,1,1.689913498,0
0,0,1,1,1.815988401,0
1,0,0,1,1.18353836,0
0,1,1,0,0.994520209,0
1,1,1,1,0.190403227,0
1,1,1,1,0.709188631,0
1,1,0,0,1.155507916,0
0,0,0,0,2.706805666,0
1,0,0,0,1.855697029,0
1,0,1,1,1.64676752,0
1,0,0,1,1.574648464,0
0,1,1,1,0.471234831,0
0,0,1,1,1.771183421,0
1,0,1,0,2.2822861,0
1,0,1,0,2.085533375,0
0,0,0,1,1.646190454,0
1,1,0,1,0.552992185,0
0,1,1,1,0.546781242,0
1,0,0,1,1.360097318,0
0,1,0,1,0.798480237,0
0,0,0,1,1.663745679,0
1,0,1,1,1.544608767,0
1,0,0,0,1.941199839,0
0,0,1,0,2.629555664,0
1,0,0,1,1.212981688,0
0,0,1,1,1.957745631,0
0,0,0,1,1.470411279,0
0,1,1,1,0.790170115,0
1,0,1,0,1.87966079,0
