"A1","U0","L1","A2","Y"
1,0,0,0,1.99827456572153
1,0,1,0,1.99383552377327
1,1,1,1,0.113231760776485
1,0,0,1,1.58274432431636
1,0,0,0,1.66971129955736
0,0,1,1,1.85694086702823
0,0,1,0,2.54283106248576
0,1,0,1,0.887492564507606
0,0,1,1,1.7866508903463
1,0,0,1,1.16652096882212
0,0,0,0,2.65094746387008
0,0,0,1,1.92776973441083
0,0,1,0,2.36121456099838
1,1,1,1,0.0780040108092677
0,1,1,1,0.8192622822912
1,1,0,0,1.49353535793979
1,0,1,0,2.06673946993904
0,0,1,1,1.55379849364777
1,1,1,0,0.50822610767342
0,1,1,1,0.288018775105074
1,0,1,1,1.66942700454997
1,0,0,1,1.51143015022356
1,1,0,1,0.211189650639356
0,0,0,1,1.9919630324428
0,1,0,1,1.03165800759195
0,1,0,0,1.68710696433435
1,0,0,1,1.55487518685203
0,1,1,1,0.587578239082641
1,0,0,1,1.2467412687418
1,0,0,0,1.70366926619957
0,0,0,0,2.79245152985886
0,0,1,1,2.04446593344832
0,0,1,1,1.95321457781863
1,0,1,0,1.74219403486509
0,1,1,0,1.39216002248132
1,1,1,0,0.902524130321165
0,0,0,1,1.51821276320842
0,0,0,1,1.81297326891167
1,0,1,1,1.51190742197348
1,1,1,0,0.814049055701398
0,1,1,1,0.542049973040749
0,0,0,1,1.66237736199092
0,0,1,0,2.53758950901725
0,0,1,0,2.10678060035199
0,0,0,0,2.31789231862001
1,0,0,1,1.27117921217183
1,0,0,1,1.13980114995168
0,1,1,0,1.47796278587429
0,1,1,0,1.53124300837306
1,0,1,1,1.39374481679738
1,0,1,0,1.75521566642577
0,1,0,1,0.683319896325513
1,0,0,0,2.00037887402699
0,1,1,1,0.524076025126845
0,1,1,1,0.69707021297928
1,0,1,0,2.09259260766947
1,0,1,1,1.47766297134396
0,0,1,1,1.65778014908468
1,0,0,1,1.31749304201215
0,1,1,1,0.701998486152699
1,0,1,0,1.91485896116893
1,0,1,0,1.97153463022297
1,1,0,1,0.242309853827166
0,1,0,1,0.859027124984604
1,1,0,1,0.436183477890014
1,1,0,0,1.27416919592094
0,0,0,0,3.04948363393889
0,1,0,0,1.42088209928405
0,1,0,0,1.49096360487802
0,0,1,0,2.54627819296066
1,0,1,0,2.18649695772735
1,0,1,1,1.28792050512961
1,0,1,0,1.93598798856658
0,0,1,1,1.88988783612584
1,0,0,1,1.41431881914163
0,1,0,0,1.29806514453209
1,1,1,1,0.586414438801178
1,1,1,1,0.588096463194766
0,0,0,0,2.79200954071485
0,0,0,0,2.46972993695503
0,0,1,0,2.2861720831406
0,1,1,1,0.905812401590333
0,1,1,0,1.59450198166723
0,0,0,1,1.59347310957604
0,1,0,1,0.77731134507552
1,1,0,1,0.529952466043786
0,0,0,0,2.41558450688376
0,1,1,1,1.12315951925267
1,0,1,0,2.11034838968531
0,1,1,1,0.68278264780317
0,1,1,0,1.56043589416682
1,1,1,1,0.269614310418502
1,0,0,0,2.15301199663424
1,0,1,1,1.60746255581121
1,0,1,1,1.7383706295565
1,0,1,0,2.00381930486742
0,0,0,0,2.70908375408524
1,1,1,0,0.925269322777938
1,1,1,0,0.87139022808407
1,0,1,0,1.84224109894082
0,0,1,0,2.50549877787152
0,1,0,1,0.688732830578134
1,1,1,0,1.20836380331005
1,0,1,1,1.36663887463345
1,0,1,0,2.00374309540659
0,0,1,0,2.49537471689893
0,0,0,1,1.67205931117602
1,1,1,1,0.0762012313490252
0,0,0,1,2.08126452161187
1,1,0,0,0.895859516135915
1,1,1,0,1.12158492860586
0,1,1,1,0.836801695724008
0,0,1,0,2.35905171926078
0,1,1,1,0.777030479961114
0,1,0,1,0.386602907604895
1,1,0,1,0.483504126127721
1,0,0,1,1.50419727774419
0,0,0,1,1.8632651930145
0,0,1,1,1.6517435334879
1,1,1,1,0.548882959887062
1,0,0,0,1.62596568253846
1,0,0,1,1.70278500920676
0,0,1,1,1.61783408192271
0,1,1,1,0.708542263466605
1,1,1,0,1.1163334008699
0,1,1,1,0.685813984605424
0,0,1,1,1.53144726233735
1,0,1,1,1.18544884985784
0,0,1,0,2.91534621095513
0,0,1,1,1.78948062251162
1,1,1,0,1.06673165088245
0,1,0,1,0.850094769012333
1,0,1,0,2.29441314873042
0,1,0,1,0.348856263651077
1,0,1,0,1.94345395433511
1,0,1,1,1.59990149951417
1,0,1,1,1.65695231425754
1,0,1,0,2.22329753673971
0,0,0,0,2.19566560771961
0,0,0,0,2.45879964124552
0,1,1,0,1.42137604623386
1,1,0,1,0.587734208816693
1,0,1,1,1.25551713157563
1,0,0,1,1.31966473961761
0,0,0,1,1.99650170566809
1,1,1,0,1.17744437992774
1,1,0,0,1.03711252497152
1,1,1,0,1.10338386656336
0,0,0,1,1.80235905405865
1,1,0,0,1.05728555291001
1,1,1,1,0.340300041742933
1,1,1,0,1.13376182092378
1,0,1,0,1.74695286424843
1,1,1,1,0.328292302269591
1,1,0,1,0.697534923181475
0,0,1,1,1.42216021547137
0,0,1,1,1.72597803927623
1,0,1,0,1.88625684922747
0,0,1,0,2.20337014697261
1,1,1,1,0.744311398400736
1,0,0,0,2.03127628418595
0,0,1,0,2.5231827520109
1,1,1,1,0.545721719115568
0,1,0,0,1.7987516279154
0,0,0,0,2.7344061610227
0,0,0,0,2.8196244256857
0,1,0,1,0.30963093763162
1,1,1,1,0.048630599149062
0,0,0,1,1.73025003488982
1,1,1,0,1.08313323377891
1,0,0,1,1.46201881516239
0,1,1,1,0.547693687728178
0,1,1,1,0.553676523620355
1,1,1,1,0.651006567204431
0,0,0,1,2.01326647295352
1,0,1,0,1.85595256088857
0,1,0,1,0.69602656037515
1,1,0,1,0.804009239027831
1,1,0,1,0.576018037177865
0,1,0,0,1.30763735700157
0,0,1,0,2.43324959488675
1,0,1,0,2.0793650758312
0,1,0,0,1.28545809341847
1,1,1,1,0.613569223195124
1,0,0,1,1.37695126053258
0,0,1,0,2.49643218469698
0,1,1,0,1.61073736538665
0,0,1,0,2.20944945770554
0,0,1,0,2.7822955763618
0,0,1,1,2.02148809247416
1,0,1,0,1.87343938842818
0,0,1,1,1.37974044700834
1,0,1,1,1.33670891715789
1,1,1,0,0.732355136221215
0,1,0,0,1.49280727373893
0,1,0,1,0.831594610315812
0,0,1,0,2.76447009040033
1,0,1,1,1.77918248971024
1,0,1,1,1.0633146735075
0,1,0,0,1.63727759885296
0,0,1,1,2.09100113993009
0,1,0,1,0.820454091202836
0,0,1,0,2.57871792008203
0,0,1,1,1.83835257491553
0,1,1,0,1.28287941808883
1,1,1,0,0.820388128872658
0,0,1,0,2.67350248862722
1,0,1,1,1.25363071687861
0,1,0,1,0.936951285570236
0,1,0,1,0.608945287605567
0,1,1,1,0.651225618759153
1,1,1,0,0.896506875263069
1,0,1,1,1.36060739050398
0,1,0,1,0.526277350623533
0,0,1,1,1.65795835666896
1,1,0,1,0.207346605307592
0,0,1,0,2.52538659852506
1,1,1,1,0.655273516662998
1,0,1,0,1.88622083216655
1,1,0,1,0.835618300642335
0,0,0,1,1.75246217306024
1,0,1,1,1.44227320595638
0,0,0,0,2.84753762038435
0,1,1,1,0.81642694452405
1,1,0,1,0.705018508275864
0,1,0,0,1.72428025989866
1,0,1,1,1.46845138157471
0,1,0,0,1.62287743957516
1,0,1,1,1.29195781972189
0,0,0,1,1.48833493830523
1,0,1,1,1.39477661878181
1,1,1,1,0.630897992147895
1,0,1,0,1.87291794365392
1,1,0,1,0.545211993907191
0,1,0,1,0.871263055409014
0,0,1,0,2.46460483594167
0,0,1,0,2.48630762540934
1,1,1,1,0.448832532390638
0,0,1,1,2.15210568708993
1,0,0,1,1.74980593671816
1,0,0,0,2.02405831407086
1,0,0,1,1.51161495808081
0,0,0,1,1.81245704081467
0,0,0,1,1.46304761813998
0,0,0,1,1.631732170024
1,0,1,1,1.58689488295116
0,1,0,1,0.697119908243092
1,1,1,1,0.488117851509407
1,1,1,1,0.305693282263385
1,0,1,1,1.42803590766154
1,0,1,1,1.55256847200747
0,0,0,1,1.6455040513454
0,0,0,1,1.69295876087226
1,0,1,1,1.32088553603823
1,1,1,0,1.27976824296568
0,1,0,1,0.832781725931349
1,0,0,0,1.80870163661589
0,1,1,1,0.590242883821962
1,0,0,1,1.48164805568929
0,0,1,1,1.8760628172749
0,1,1,1,0.524516035437725
0,0,0,1,1.6172247965548
0,0,0,1,1.69191902421256
1,0,0,1,1.25157478411052
1,1,0,1,0.119423063361453
0,0,1,0,2.30881025958662
0,1,0,0,1.89805014777222
1,0,0,1,1.32327766254468
1,0,0,1,1.85093038138572
0,0,1,0,2.13919938229932
0,1,1,1,0.499571365378511
1,0,0,0,2.02981406915864
1,0,1,1,1.41181165701627
0,1,0,0,1.77498887465138
0,0,0,1,1.80406902818294
1,0,1,1,1.49381690971726
1,1,1,1,0.505385616000624
0,1,1,1,0.663865330620862
1,1,1,1,0.549998656572482
1,0,1,1,1.82418782353891
0,0,0,0,2.32937566825109
1,0,1,1,1.28282978312659
1,0,1,1,1.41433873766437
1,0,0,1,1.54446181892206
1,0,0,1,1.25840471492566
0,0,0,1,1.52863777095974
0,0,1,1,1.53061740715118
1,1,1,1,0.506501441274986
0,0,0,0,2.23514183573771
1,0,1,0,2.38453015430594
1,0,1,0,2.08362265779885
1,0,1,1,1.67130745619232
1,1,1,1,0.693952464708518
0,0,1,0,2.50930427266737
0,0,0,0,2.55673408420585
1,0,1,1,1.4127677852115
1,1,0,1,0.197388466037037
1,1,0,1,0.403008071455584
1,0,1,1,1.55705470215029
1,0,0,1,1.5955412635392
0,1,0,0,1.41038751523018
0,0,0,1,1.80498219791937
0,0,1,0,2.00608201482102
0,0,0,1,1.90188628132988
0,0,1,1,1.60579321141081
0,0,1,1,1.68677891879038
1,1,1,1,0.678464514094058
0,0,0,1,1.85111129198615
0,0,0,1,1.49347283122544
0,0,1,1,1.86271644131822
0,0,1,1,1.54407671530168
1,0,0,1,1.65738909734386
1,1,0,1,0.42680774130125
1,0,0,1,1.28504556409287
1,1,0,0,0.644814721826835
1,1,1,1,0.168824017700106
0,1,1,1,1.13838247914382
0,0,1,0,2.56011998308818
1,0,0,1,1.43062996421689
0,1,0,0,1.89736721692043
1,0,0,1,1.54085514256302
1,1,0,1,0.608132008832024
1,0,0,1,1.50486779198484
1,1,0,0,0.666396325178078
0,0,0,1,1.56614230092868
0,1,1,1,0.629446708159045
0,1,1,0,1.2342767485213
0,1,1,0,1.66686270824819
1,1,1,0,1.01119042186404
0,0,0,0,2.49262266235162
0,1,1,0,1.60118513251245
1,1,1,0,1.09882037408056
0,0,0,0,2.25273746494542
1,0,1,0,2.05732889626852
0,0,1,1,1.65935763560745
1,1,1,0,1.05410957579162
1,0,1,0,1.96142679099468
1,0,1,0,2.1748131646487
0,1,0,1,1.01775768774454
1,0,0,1,1.14213844382736
0,0,0,0,2.20158676089171
1,0,1,1,1.92346174293101
1,0,0,0,2.10100906573234
1,1,0,1,0.262792138273524
0,1,0,1,0.634625172166064
1,1,0,1,0.613715000085163
0,0,0,1,1.83256476322464
1,1,0,1,0.105063993309643
1,0,0,1,1.13927248454053
1,0,0,0,1.84529917144962
0,0,0,0,2.61597771800173
0,1,0,1,1.28713041079414
1,0,1,1,1.41171672683784
1,1,0,0,1.15402950835869
0,0,0,0,2.54021433124835
1,0,1,1,1.33432703662035
0,1,0,0,1.90761231402408
0,0,0,1,1.56394851939105
1,0,0,0,1.89235351547745
1,0,1,1,1.32710625438894
1,1,1,1,0.302730948950216
1,1,1,1,0.255502516414314
1,0,1,1,1.10130091318135
1,1,0,0,1.1400913124587
1,1,1,0,1.00929018303252
0,1,0,1,0.471837109636848
0,0,1,0,2.86045897006509
1,0,1,0,1.73475267602762
1,1,0,0,0.654248608043845
0,1,0,0,1.44773429476317
1,1,0,0,0.984044086818702
1,1,1,1,0.475146190858369
1,0,0,1,1.69124213694135
1,1,0,1,0.518161974537602
0,0,1,1,1.84665141648472
1,0,1,0,2.5103242524094
0,0,1,0,2.6452209820736
1,0,0,1,1.24502221877188
1,0,0,1,1.62346292252415
0,0,0,1,1.68991349800191
0,0,1,1,1.81598840090307
1,0,0,1,1.18353835977507
0,1,1,0,0.994520208583585
1,1,1,1,0.190403226908152
1,1,1,1,0.709188631093453
1,1,0,0,1.15550791618588
0,0,0,0,2.70680566550118
1,0,0,0,1.85569702891306
1,0,1,1,1.64676751976345
1,0,0,1,1.57464846370802
0,1,1,1,0.471234831155724
0,0,1,1,1.77118342105705
1,0,1,0,2.28228609989824
1,0,1,0,2.08553337499465
0,0,0,1,1.64619045371917
1,1,0,1,0.552992185386041
0,1,1,1,0.54678124159102
1,0,0,1,1.36009731845746
0,1,0,1,0.79848023708254
0,0,0,1,1.66374567886654
1,0,1,1,1.54460876748769
1,0,0,0,1.94119983925536
0,0,1,0,2.62955566378684
1,0,0,1,1.21298168770097
0,0,1,1,1.95774563124251
0,0,0,1,1.47041127908914
0,1,1,1,0.79017011485637
1,0,1,0,1.87966079045881
